,accuracy,accuracy_0,accuracy_1,alpha,calibration_neg_0,calibration_neg_1,calibration_neg_gap_0,calibration_neg_gap_1,calibration_pos_0,calibration_pos_1,calibration_pos_gap_0,calibration_pos_gap_1,count_0,count_1,dropout_rate,false_neg_0,false_neg_1,false_pos_0,false_pos_1,fn_0,fn_1,fn_gap_0,fn_gap_1,fp_0,fp_1,fp_gap_0,fp_gap_1,learning_rate,n_h,n_h_adv,parity_gap_0,parity_gap_1,roc_auc,total_num_iters,true_neg_0,true_neg_1,true_pos_0,true_pos_1,y_hat_0,y_hat_1
0,0.45371905902585835,0.39990791896869243,0.5615200147574249,0.01,0.21739824421388668,0.21739824421388668,0.0,0.0,0.2480031948881789,0.2480031948881789,0.0,0.0,10860,5421,0.1,1030,332,5487,2045,0.31633906633906633,0.5627118644067797,0.24637279806771334,0.24637279806771334,0.7215938979484482,0.42330780376733596,0.29828609418111224,0.29828609418111224,0.0001,10,10,0.2853916271997277,0.2853916271997277,0.5235665293117555,4000,2117,2786,2226,258,0.28977900552486185,0.5751706327245896
1,0.7476813463546466,0.6813075506445673,0.8806493266924922,0.01,0.21820642978003385,0.21820642978003385,0.0,0.0,0.41301460823373176,0.41301460823373176,0.0,0.0,10860,5421,0.1,2698,526,763,121,0.8286240786240786,0.8915254237288136,0.062901345104735,0.062901345104735,0.10034192530247238,0.02504657420823846,0.07529535109423392,0.07529535109423392,0.0001,10,10,0.08751249743936262,0.08751249743936262,0.6429642983869737,4000,6841,4710,558,64,0.8783609576427256,0.9658734550820882
2,0.776057981696456,0.7166666666666667,0.8950378159011253,0.01,0.222446788353439,0.222446788353439,0.0,0.0,0.7232142857142857,0.7232142857142857,0.0,0.0,10860,5421,0.1,2981,541,96,28,0.9155405405405406,0.9169491525423729,0.0014086120018322879,0.0014086120018322879,0.01262493424513414,0.005795901469675016,0.006829032775459124,0.006829032775459124,0.0001,10,10,0.0199580412168352,0.0199580412168352,0.7256877207134929,4000,7508,4803,275,49,0.9658379373848988,0.985795978601734
3,0.7802346293225232,0.7217311233885819,0.8974358974358975,0.01,0.22047591996465316,0.22047591996465316,0.0,0.0,0.8059360730593608,0.8059360730593608,0.0,0.0,10860,5421,0.1,2954,539,68,17,0.9072481572481572,0.9135593220338983,0.006311164785741119,0.006311164785741119,0.008942661756970016,0.003518940178016974,0.005423721578953041,0.005423721578953041,0.0001,10,10,0.02152617047883154,0.02152617047883154,0.7839496217564826,4000,7536,4814,302,51,0.9659300184162063,0.9874561888950378
4,0.7845955408144463,0.7279005524861878,0.8981737686773658,0.01,0.21624713958810068,0.21624713958810068,0.0,0.0,0.8087431693989071,0.8087431693989071,0.0,0.0,10860,5421,0.1,2865,537,90,15,0.879914004914005,0.9101694915254237,0.030255486611418747,0.030255486611418747,0.011835875854813256,0.00310494721589733,0.008730928638915926,0.008730928638915926,0.0001,10,10,0.031747164953969675,0.031747164953969675,0.8235645638129505,4000,7514,4816,391,53,0.9557090239410682,0.9874561888950378
5,0.791536146428352,0.7372007366482505,0.9003873824017709,0.01,0.2088994783952605,0.2088994783952605,0.0,0.0,0.800531914893617,0.800531914893617,0.0,0.0,10860,5421,0.1,2719,525,135,15,0.8350737100737101,0.8898305084745762,0.054756798400866113,0.054756798400866113,0.017753813782219883,0.00310494721589733,0.014648866566322553,0.014648866566322553,0.0001,10,10,0.04712102820930675,0.04712102820930675,0.8469983905910319,4000,7469,4816,537,65,0.938121546961326,0.9852425751706327
6,0.8007493397211474,0.7497237569060774,0.9029699317469102,0.01,0.19969940534535713,0.19969940534535713,0.0,0.0,0.8077709611451943,0.8077709611451943,0.0,0.0,10860,5421,0.1,2545,511,173,15,0.7816339066339066,0.8661016949152542,0.0844677882813476,0.0844677882813476,0.02275118358758548,0.00310494721589733,0.01964623637168815,0.01964623637168815,0.0001,10,10,0.06405965750136822,0.06405965750136822,0.8582836783515571,4000,7431,4816,711,79,0.9186003683241253,0.9826600258254935
7,0.8095940052822308,0.762707182320442,0.9035233351780114,0.01,0.19070969451991254,0.19070969451991254,0.0,0.0,0.8134453781512605,0.8134453781512605,0.0,0.0,10860,5421,0.1,2370,508,207,15,0.7278869778869779,0.8610169491525423,0.13312997126556447,0.13312997126556447,0.027222514466070487,0.00310494721589733,0.02411756725017316,0.02411756725017316,0.0001,10,10,0.082751189613545,0.082751189613545,0.8668491757764399,4000,7397,4816,886,82,0.8993554327808472,0.9821066223943922
8,0.8167802960506111,0.7715469613259669,0.9073971591957204,0.01,0.18205059203444565,0.18205059203444565,0.0,0.0,0.8045165843330981,0.8045165843330981,0.0,0.0,10860,5421,0.1,2215,491,266,11,0.6802825552825553,0.8322033898305085,0.15192083454795313,0.15192083454795313,0.03498158863755918,0.002276961291658042,0.03270462734590114,0.03270462734590114,0.0001,10,10,0.10005844877858872,0.10005844877858872,0.8747343910644243,4000,7338,4820,1041,99,0.8796500920810313,0.97970854085962
9,0.8218782630059579,0.7791896869244935,0.9073971591957204,0.01,0.175083486676208,0.175083486676208,0.0,0.0,0.7941542288557214,0.7941542288557214,0.0,0.0,10860,5421,0.1,2090,479,308,23,0.6418918918918919,0.811864406779661,0.1699725148877691,0.1699725148877691,0.04050499736980537,0.004760919064375905,0.035744078305429465,0.035744078305429465,0.0001,10,10,0.11100875355813944,0.11100875355813944,0.8797758954990287,4000,7296,4808,1166,111,0.8642725598526704,0.9752813134108098
10,0.8267919660954487,0.7852670349907919,0.9099797085408596,0.01,0.1692011284662492,0.1692011284662492,0.0,0.0,0.7934782608695652,0.7934782608695652,0.0,0.0,10860,5421,0.1,1990,469,342,19,0.6111793611793612,0.7949152542372881,0.18373589305792692,0.18373589305792692,0.04497632824829037,0.003932933140136618,0.04104339510815375,0.04104339510815375,0.0001,10,10,0.12224080489114875,0.12224080489114875,0.8826209132000182,4000,7262,4812,1266,121,0.8519337016574585,0.9741745065486073
11,0.8280203918678214,0.7871086556169429,0.9099797085408596,0.01,0.16617005058554501,0.16617005058554501,0.0,0.0,0.7827027027027027,0.7827027027027027,0.0,0.0,10860,5421,0.1,1936,462,376,26,0.5945945945945946,0.7830508474576271,0.18845625286303247,0.18845625286303247,0.04944765912677538,0.005381908507555371,0.04406575061922001,0.04406575061922001,0.0001,10,10,0.12776138630107392,0.12776138630107392,0.8858296631825064,4000,7228,4805,1320,128,0.8438305709023941,0.971591957203468
12,0.8316442478963209,0.7915285451197054,0.9120088544548977,0.01,0.16175854849965107,0.16175854849965107,0.0,0.0,0.7831881086622245,0.7831881086622245,0.0,0.0,10860,5421,0.1,1863,455,401,22,0.5721744471744472,0.7711864406779662,0.19901199350351895,0.19901199350351895,0.052735402419779066,0.004553922583316084,0.04818147983646298,0.04818147983646298,0.0001,10,10,0.13623192393811256,0.13623192393811256,0.8867348694751972,4000,7203,4809,1393,135,0.8348066298342541,0.9710385537723667
13,0.8331183588231681,0.7929097605893186,0.9136690647482014,0.01,0.15920886519848507,0.15920886519848507,0.0,0.0,0.7790410281759763,0.7790410281759763,0.0,0.0,10860,5421,0.1,1822,448,427,20,0.5595823095823096,0.7593220338983051,0.19973972431599551,0.19973972431599551,0.05615465544450289,0.004139929621196439,0.05201472582330645,0.05201472582330645,0.0001,10,10,0.14147901398388296,0.14147901398388296,0.8882730186569747,4000,7177,4811,1434,142,0.8286372007366483,0.9701162147205312
14,0.8357594742337694,0.7969613259668509,0.9134845969378343,0.01,0.15671379334599422,0.15671379334599422,0.0,0.0,0.7839147286821705,0.7839147286821705,0.0,0.0,10860,5421,0.1,1787,441,418,28,0.5488329238329238,0.747457627118644,0.19862470328572024,0.19862470328572024,0.05497106785902157,0.005795901469675016,0.049175166389346554,0.049175166389346554,0.0001,10,10,0.14110610364237297,0.14110610364237297,0.8898678745702301,4000,7186,4803,1469,149,0.8262430939226519,0.9673491975650249
15,0.8365579509858116,0.7978821362799263,0.9140380003689356,0.01,0.15477536027126307,0.15477536027126307,0.0,0.0,0.7788235294117647,0.7788235294117647,0.0,0.0,10860,5421,0.1,1753,438,442,28,0.5383906633906634,0.7423728813559322,0.20398221796526872,0.20398221796526872,0.0581273014203051,0.005795901469675016,0.05233139995063009,0.05233139995063009,0.0001,10,10,0.1458934000271096,0.1458934000271096,0.8920735301466742,4000,7162,4803,1503,152,0.820902394106814,0.9667957941339236
16,0.8372335851606166,0.7985267034990792,0.914775871610404,0.01,0.15348112472554715,0.15348112472554715,0.0,0.0,0.776595744680851,0.776595744680851,0.0,0.0,10860,5421,0.1,1738,429,450,33,0.5337837837837838,0.7271186440677966,0.1933348602840128,0.1933348602840128,0.05917937927406628,0.0068308838749741255,0.05234849539909216,0.05234849539909216,0.0001,10,10,0.14542871440204397,0.14542871440204397,0.892658025581176,4000,7154,4798,1518,161,0.8187845303867404,0.9642132447887843
17,0.8387691173760825,0.8012891344383057,0.9138535325585685,0.01,0.1525219608954378,0.1525219608954378,0.0,0.0,0.7819861431870669,0.7819861431870669,0.0,0.0,10860,5421,0.1,1721,432,437,35,0.5285626535626535,0.7322033898305085,0.20364073626785495,0.20364073626785495,0.057469752761704365,0.007244876837093769,0.0502248759246106,0.0502248759246106,0.0001,10,10,0.1459815063376413,0.1459815063376413,0.8945015589123766,4000,7167,4796,1535,158,0.8184162062615101,0.9643977125991514
