,accuracy,accuracy_0,accuracy_1,alpha,calibration_neg_0,calibration_neg_1,calibration_neg_gap_0,calibration_neg_gap_1,calibration_pos_0,calibration_pos_1,calibration_pos_gap_0,calibration_pos_gap_1,count_0,count_1,dropout_rate,false_neg_0,false_neg_1,false_pos_0,false_pos_1,fn_0,fn_1,fn_gap_0,fn_gap_1,fp_0,fp_1,fp_gap_0,fp_gap_1,learning_rate,n_h,n_h_adv,parity_gap_0,parity_gap_1,roc_auc,total_num_iters,true_neg_0,true_neg_1,true_pos_0,true_pos_1,y_hat_0,y_hat_1
0,0.23641053989312696,0.3000920810313076,0.10883600811658366,5,0.2,0.2,0.0,0.0,0.2362374047677562,0.2362374047677562,0.0,0.0,10860,5421,0.1,1,0,7600,4831,0.0003071253071253071,0.0,0.0003071253071253071,0.0003071253071253071,0.9994739610731194,1.0,0.0005260389268806342,0.0005260389268806342,0.0001,10,10,0.00046040515653775324,0.00046040515653775324,0.5817413106656957,4000,4,0,3255,590,0.00046040515653775324,0.0
1,0.25612677353970886,0.3228360957642726,0.12248662608374838,5,0.078125,0.078125,0.0,0.0,0.24004529156444612,0.24004529156444612,0.0,0.0,10860,5421,0.1,28,2,7326,4755,0.0085995085995086,0.003389830508474576,0.005209678091034023,0.005209678091034023,0.963440294581799,0.9842682674394535,0.020827972857654475,0.020827972857654475,0.0001,10,10,0.013788306371477405,0.013788306371477405,0.6341173059869721,4000,278,76,3228,588,0.0281767955801105,0.014388489208633094
2,0.44524292119648673,0.5045119705340699,0.32650802434975096,5,0.11789804626094767,0.11789804626094767,0.0,0.0,0.28077443354751436,0.28077443354751436,0.0,0.0,10860,5421,0.1,484,41,4897,3610,0.14864864864864866,0.06949152542372881,0.07915712322491984,0.07915712322491984,0.6440031562335613,0.7472572966259574,0.10325414039239611,0.10325414039239611,0.0001,10,10,0.06103219421912534,0.06103219421912534,0.6839335632130552,4000,2707,1221,2772,549,0.2938305709023941,0.23279837668326878
3,0.6929549781954425,0.6953959484346225,0.6880649326692492,5,0.14236244709503657,0.14236244709503657,0.0,0.0,0.4020390824129142,0.4020390824129142,0.0,0.0,10860,5421,0.1,1292,188,2016,1503,0.3968058968058968,0.31864406779661014,0.07816182900928664,0.07816182900928664,0.26512361914781696,0.31111571103291247,0.04599209188509551,0.04599209188509551,0.0001,10,10,0.015071325854743245,0.015071325854743245,0.7251058912481148,4000,5588,3328,1964,402,0.6335174953959485,0.6485888212506917
4,0.7536392113506541,0.7276243093922652,0.8057553956834532,5,0.1520733520568313,0.1520733520568313,0.0,0.0,0.4802395209580838,0.4802395209580838,0.0,0.0,10860,5421,0.1,1546,295,1412,758,0.4748157248157248,0.5,0.025184275184275184,0.025184275184275184,0.185691741188848,0.15690333264334505,0.028788408545502936,0.028788408545502936,0.0001,10,10,0.09323237542562635,0.09323237542562635,0.7506672659347066,4000,6192,4073,1710,295,0.7125230202578269,0.8057553956834532
5,0.7750138197899392,0.7430018416206261,0.8391440693598967,5,0.15686121107807854,0.15686121107807854,0.0,0.0,0.526150328665333,0.526150328665333,0.0,0.0,10860,5421,0.1,1676,329,1115,543,0.5147420147420148,0.5576271186440678,0.04288510390205302,0.04288510390205302,0.14663335086796422,0.11239908921548333,0.03423426165248089,0.03423426165248089,0.0001,10,10,0.09984625983870787,0.09984625983870787,0.7721749561578763,4000,6489,4288,1580,261,0.751841620626151,0.8516878804648589
6,0.805355936367545,0.7691528545119706,0.8778823095369858,5,0.15676396503185658,0.15676396503185658,0.0,0.0,0.6216313330937837,0.6216313330937837,0.0,0.0,10860,5421,0.1,1763,353,744,309,0.5414619164619164,0.5983050847457627,0.05684316828384628,0.05684316828384628,0.09784324039978959,0.06396191264748499,0.033881327752304596,0.033881327752304596,0.0001,10,10,0.10526584257455907,0.10526584257455907,0.7835953301421159,4000,6860,4522,1493,237,0.7940147329650092,0.8992805755395683
7,0.8181315644002212,0.7791896869244935,0.8961446227633278,5,0.15763226366001734,0.15763226366001734,0.0,0.0,0.6809815950920245,0.6809815950920245,0.0,0.0,10860,5421,0.1,1806,375,592,188,0.5546683046683046,0.635593220338983,0.08092491567067839,0.08092491567067839,0.0778537611783272,0.038915338439246536,0.03893842273908066,0.03893842273908066,0.0001,10,10,0.11368893835208083,0.11368893835208083,0.7959292846985291,4000,7012,4643,1450,215,0.8119705340699815,0.9256594724220624
8,0.8233523739328051,0.7832412523020258,0.9037078029883785,5,0.15735895046239873,0.15735895046239873,0.0,0.0,0.7079759862778731,0.7079759862778731,0.0,0.0,10860,5421,0.1,1823,372,531,150,0.5598894348894349,0.6305084745762712,0.07061903968683636,0.07061903968683636,0.06983166754339822,0.031049472158973298,0.038782195384424914,0.038782195384424914,0.0001,10,10,0.11296299127294007,0.11296299127294007,0.8040437315120269,4000,7073,4681,1433,218,0.8191528545119705,0.9321158457849106
9,0.8250721700141269,0.7833333333333333,0.90868843386829,5,0.1586555579292174,0.1586555579292174,0.0,0.0,0.7229669347631814,0.7229669347631814,0.0,0.0,10860,5421,0.1,1850,378,503,117,0.5681818181818182,0.6406779661016949,0.07249614791987669,0.07249614791987669,0.06614939505523408,0.02421858828399917,0.04193080677123491,0.04193080677123491,0.0001,10,10,0.11509277915534122,0.11509277915534122,0.8095617544042333,4000,7101,4714,1406,212,0.8242173112338859,0.9393100903892271
