,accuracy,accuracy_0,accuracy_1,count_0,count_1,false_neg_0,false_neg_1,false_pos_0,false_pos_1,fn_gap,fp_gap,parity_gap,roc_auc,true_neg_0,true_neg_1,true_pos_0,true_pos_1
0,74.82341379522143,68.2780847145488,87.93580520199225,10860,5421,3015,575,430,79,0.04859347020363969,0.0401964626359374,0.044446397832859974,0.5288804435168962,7174,4752,241,15
1,82.86346047540077,78.45303867403315,91.6989485334809,10860,5421,2151,423,189,27,0.05632261691583729,0.019266434306492643,0.08336609930075489,0.8804868833273636,7415,4804,1105,167
2,82.8757447331245,78.45303867403315,91.73584209555433,10860,5421,2124,416,216,32,0.05275059342855948,0.02178221465763751,0.08612486126695751,0.875930783914107,7388,4799,1132,174
3,83.0292979546711,78.5451197053407,92.01254381110496,10860,5421,2096,407,234,26,0.046095864739932546,0.025391368714959096,0.08980718527600362,0.8574648076393503,7370,4805,1160,183
4,83.10300350101345,78.71086556169429,91.90186312488471,10860,5421,2084,406,228,33,0.04808645317119897,0.023153334957219454,0.08888392898091213,0.8511943018935071,7376,4798,1172,184
5,83.10914562987531,78.76611418047882,91.80962921970116,10860,5421,2112,417,194,27,0.05813101236830043,0.01992398296509338,0.08631085781608461,0.8476057715408738,7410,4804,1144,173
6,82.68533873840673,78.22283609576428,91.62516140933407,10860,5421,2191,423,174,31,0.044037604630824956,0.01646580240645115,0.07756377133737113,0.8449868802954772,7430,4800,1065,167
7,82.70990725385418,78.30570902394106,91.53292750415052,10860,5421,2161,429,195,30,0.06342085537000786,0.01943450325363406,0.08355117860662598,0.8441071941229077,7409,4801,1095,161
8,82.9617345371906,78.49907918968692,91.90186312488471,10860,5421,2114,411,221,28,0.04734727022862617,0.023267749240477534,0.08732160892620366,0.8490425825316084,7383,4803,1142,179
9,82.79589705792027,78.2780847145488,91.84652278177458,10860,5421,2148,414,211,28,0.04198975554907758,0.02195265192327606,0.08382344697977284,0.8414872783089853,7393,4803,1108,176
