,accuracy,accuracy_0,accuracy_1,count_0,count_1,false_neg_0,false_neg_1,false_pos_0,false_pos_1,fn_gap,fp_gap,parity_gap,roc_auc,true_neg_0,true_neg_1,true_pos_0,true_pos_1
0,63.822861003623856,61.896869244935544,67.68123962368567,10860,5421,2242,432,1896,1320,0.04362845125556991,0.023892903657565745,0.004687622617588039,0.4929821028788075,5708,3511,1014,158
1,83.08457711442786,78.67403314917127,91.92030990592141,10860,5421,2095,414,221,24,0.05826739682671889,0.024095735164716824,0.09036242319361676,0.8817571078396012,7383,4807,1161,176
2,83.57594742337695,79.33701657458563,92.0678841542151,10860,5421,1950,388,294,42,0.05873276974971886,0.029970008921210777,0.1023195043625108,0.8764357916495992,7310,4789,1306,202
3,83.2626988514219,78.92265193370166,91.95720346799483,10860,5421,2072,401,217,35,0.04329738058551624,0.021292734946178192,0.08768473533965004,0.8637313719328025,7387,4796,1184,189
4,83.07843498556599,78.56353591160222,92.12322449732521,10860,5421,2124,398,204,29,0.02224211885228833,0.02082508732017521,0.08225287173576057,0.8596123973628025,7400,4802,1132,192
5,82.88802899084823,78.34254143646409,91.99409703006825,10860,5421,2170,404,182,30,0.018283846249947944,0.01772487674127215,0.07691370065868264,0.8496386618633222,7422,4801,1086,186
6,82.91873963515755,78.56353591160222,91.64360819037078,10860,5421,2138,420,190,33,0.05523050014575437,0.01815596515185386,0.08299502344575682,0.8463622171746539,7414,4798,1118,170
7,82.47036422824151,77.87292817679558,91.6805017524442,10860,5421,2217,432,186,19,0.051306583933702576,0.02052787695981078,0.08014846091677441,0.8503875900914604,7418,4812,1039,158
8,82.50107487255083,77.92817679558011,91.66205497140749,10860,5421,2198,420,199,32,0.03680298171823593,0.019546549218395007,0.07848335865943878,0.849007966752124,7405,4799,1058,170
9,82.84503408881518,78.29650092081032,91.95720346799483,10860,5421,2173,411,184,25,0.029226877108233018,0.01902287861001155,0.0790352333517802,0.8416987785261311,7420,4806,1083,179
10,82.68533873840673,78.15837937384899,91.75428887659103,10860,5421,2164,413,208,34,0.03538083538083536,0.020316143841756687,0.08078263271235964,0.8354998880292968,7396,4797,1092,177
11,82.64234383637368,78.05709023941068,91.82807600073787,10860,5421,2195,419,188,24,0.036029442385374644,0.019755914017951962,0.07903798508154802,0.8372036827592927,7416,4807,1061,171
12,82.47036422824151,77.84530386740332,91.73584209555433,10860,5421,2250,424,156,24,0.027612126764669176,0.015547602602907249,0.07194927440962662,0.8414389563117707,7448,4807,1006,166
13,82.55021190344573,77.87292817679558,91.92030990592141,10860,5421,2211,408,192,30,0.01247136967475948,0.01903997405847362,0.07479705992961683,0.8442944601579803,7412,4801,1045,182
14,82.38437442417542,77.78084714548802,91.60671462829737,10860,5421,2240,432,173,23,0.04424270186982049,0.017990264523209575,0.07609567254823424,0.845195139530551,7431,4808,1016,158
15,82.3045267489712,77.77163904235728,91.38535325585686,10860,5421,2244,440,170,27,0.05657352267521765,0.016767749403809845,0.0761889765705498,0.8482489601152201,7434,4804,1012,150
16,82.77747067133468,78.2780847145488,91.79118243866445,10860,5421,2141,411,218,34,0.03905488693624293,0.02163124115895816,0.08345237112477466,0.847975159858827,7386,4797,1115,179
17,82.69762299613046,78.25966850828729,91.58826784726065,10860,5421,2174,425,187,31,0.05264856536042972,0.01817542891881306,0.08069513789733196,0.8444154742466337,7417,4800,1082,165
18,82.40894293962288,77.75322283609576,91.73584209555433,10860,5421,2220,420,196,28,0.03004622496147924,0.01998000594747385,0.07691920411821829,0.8450132472528495,7408,4803,1036,170
19,82.8266077022296,78.26887661141805,91.95720346799483,10860,5421,2176,409,184,27,0.024915670678382518,0.018608885647891905,0.07802111901638908,0.8460232522690533,7420,4804,1080,181
