,accuracy,accuracy_0,accuracy_1,count_0,count_1,false_neg_0,false_neg_1,false_pos_0,false_pos_1,fn_gap,fp_gap,parity_gap,roc_auc,true_neg_0,true_neg_1,true_pos_0,true_pos_1
0,29.863030526380445,36.43646408839779,16.69433683822173,10860,5421,1251,67,5652,4449,0.27065443717986093,0.17763434055287552,0.21210949642326085,0.43316146719049303,1952,382,2005,523
1,82.95559240832873,78.45303867403315,91.97565024903155,10860,5421,2130,414,210,21,0.04751801107733311,0.023270117558974672,0.08668009918457076,0.8661150515180238,7394,4810,1126,176
2,83.04772434125668,78.63720073664825,91.883416343848,10860,5421,2094,418,226,22,0.06535418315079333,0.025167276785437204,0.09202171624366462,0.8714463833881059,7378,4809,1162,172
3,82.78361280019655,78.37937384898711,91.60671462829737,10860,5421,2160,428,188,27,0.06203306542289588,0.019134924574772498,0.08336762803951481,0.8660212825883362,7416,4804,1096,162
4,82.3045267489712,77.75322283609576,91.42224681793027,10860,5421,2262,444,154,21,0.05782492816391127,0.015905572582646424,0.07490289960976404,0.8632326893397408,7450,4810,994,146
5,82.00356243473988,77.32965009208102,91.36690647482014,10860,5421,2310,444,152,24,0.04308291342189652,0.01502156367602666,0.06974544461328513,0.8594858840594075,7452,4807,946,146
6,81.72716663595602,76.96132596685082,91.27467256963659,10860,5421,2369,456,133,17,0.045301503352350836,0.013971854140762616,0.06606801256827088,0.8607270442808063,7471,4814,887,134
7,82.05269946563479,77.17311233885819,91.82807600073787,10860,5421,2352,427,127,16,0.0013700912005997212,0.013389792231501553,0.0619158052223755,0.8684146328458688,7477,4815,904,163
8,82.23082120262883,77.45856353591161,91.79118243866445,10860,5421,2291,429,157,16,0.023494565443717974,0.017335084183105972,0.07066411469209677,0.8749704181975079,7447,4815,965,161
9,82.0342730790492,77.31123388581952,91.4960339420771,10860,5421,2316,444,148,17,0.041240161579144674,0.015944500116564824,0.0701159089727793,0.8770124250888813,7456,4814,940,146
10,81.72716663595602,76.96132596685082,91.27467256963659,10860,5421,2379,454,123,19,0.03884041977262309,0.012242763861441498,0.06348852070065159,0.8752923731746215,7481,4812,877,136
11,81.85000921319329,77.10865561694291,91.34845969378344,10860,5421,2364,446,122,23,0.029887977345604444,0.011283268205482064,0.06256404141455219,0.8720181239899375,7482,4808,892,144
12,82.0342730790492,77.32044198895028,91.4775871610404,10860,5421,2311,442,152,20,0.039385957606296595,0.01584954960026595,0.07002229920271175,0.8711996296498421,7452,4811,945,148
13,82.19396842945766,77.49539594843462,91.60671462829737,10860,5421,2270,439,174,16,0.04689334943572232,0.019570749622348477,0.07600787198545456,0.8717465087827476,7430,4815,986,151
14,82.09569436766783,77.44935543278085,91.40380003689356,10860,5421,2305,449,144,17,0.05309311622870949,0.015418461189684235,0.07168281524376763,0.8729302618023499,7460,4814,951,141
15,81.72102450709416,76.94290976058932,91.29311935067331,10860,5421,2369,452,135,20,0.03852184233540168,0.013613884161023444,0.06496089995831633,0.8669310053463659,7469,4811,887,138
16,81.94828327498311,77.22836095764272,91.40380003689356,10860,5421,2329,442,144,24,0.03385770207804106,0.013969485822265482,0.06689032114724713,0.8707096558892513,7460,4807,927,148
17,81.82544069774583,76.99815837937385,91.4960339420771,10860,5421,2335,447,163,14,0.04048952650647575,0.0185381355355465,0.07085439170975161,0.8678947270476262,7441,4817,921,143
18,81.97285179043057,77.25598526703499,91.42224681793027,10860,5421,2319,445,151,20,0.04201370091200596,0.0157180398685458,0.06974697335204516,0.865399097668772,7453,4811,937,145
19,82.00970456360174,77.32044198895028,91.40380003689356,10860,5421,2326,451,137,15,0.050033315287552615,0.01491188602976285,0.06984241760862453,0.8687499176686004,7467,4816,930,139
