,accuracy,accuracy_0,accuracy_1,count_0,count_1,false_neg_0,false_neg_1,false_pos_0,false_pos_1,fn_gap,fp_gap,parity_gap,roc_auc,true_neg_0,true_neg_1,true_pos_0,true_pos_1
0,39.00251827283336,43.35174953959484,30.289614462276333,10860,5421,814,83,5338,3696,0.10932203389830508,0.06306004607495586,0.05892778340013921,0.5332664645548427,2266,1135,2442,507
1,82.64848596523555,77.95580110497238,92.04943737317838,10860,5421,2242,397,152,34,0.015693582642735127,0.012951598865428439,0.0654922895512744,0.87037032506632,7452,4797,1014,193
2,83.13371414532277,78.59116022099448,92.23390518354547,10860,5421,2104,380,221,41,0.002123849581476711,0.02057679498669985,0.08012583558312725,0.8705784692988041,7383,4790,1152,210
3,83.01701369694736,78.37016574585635,92.32613908872902,10860,5421,2155,382,194,34,0.014397409736392808,0.018475007597674627,0.07460372543444205,0.8720443654899392,7410,4797,1101,208
4,82.53178551686014,77.84530386740332,91.92030990592141,10860,5421,2225,402,181,36,0.001997876150418465,0.01635138812319307,0.07028142042252294,0.8750921641208229,7423,4795,1031,188
5,82.49493274368896,77.67955801104972,92.14167127836193,10860,5421,2233,389,191,37,0.02648877691250573,0.017459488959334718,0.06788303313999888,0.870780257024515,7413,4794,1023,201
6,82.50107487255083,77.85451197053408,91.80962921970116,10860,5421,2252,399,153,45,0.015375005205513714,0.010806147305490546,0.0630033499762026,0.8703840103744882,7451,4786,1004,191
7,82.53792764572201,77.69797421731123,92.23390518354547,10860,5421,2264,393,158,28,0.029230000416441082,0.014982636142108256,0.06438792867108778,0.861954414646228,7446,4803,992,197
8,82.65462809409742,77.98342541436465,92.01254381110496,10860,5421,2227,397,164,36,0.011086703035855572,0.014115722683950564,0.067609541775844,0.8656593903482718,7440,4795,1029,193
9,82.47036422824151,77.83609576427256,91.75428887659103,10860,5421,2243,411,164,36,0.007728105609461577,0.014115722683950564,0.06871879462006258,0.8608637509955566,7440,4795,1013,179
10,82.3536637798661,77.51381215469613,92.04943737317838,10860,5421,2291,400,151,31,0.025657976929163384,0.013441078576887758,0.06199504484809948,0.8581468984533406,7453,4800,965,190
11,82.58092254775505,77.86372007366482,92.03099059214168,10860,5421,2225,393,179,39,0.01725211343855404,0.015467379216573306,0.06788364463550278,0.8592839081476408,7425,4792,1031,197
12,82.12026288311529,77.29281767955801,91.79118243866445,10860,5421,2316,407,150,38,0.021471702827634997,0.011860593477748859,0.05960093803410316,0.849751646680262,7454,4793,940,183
13,82.58092254775505,78.00184162062615,91.75428887659103,10860,5421,2243,408,146,39,0.002643359846749682,0.011127558069808448,0.0659545291943241,0.8513664503154312,7458,4792,1013,182
14,82.31066887783305,77.37569060773481,92.19701162147206,10860,5421,2303,395,154,28,0.03781805688585349,0.014456597215227667,0.060797379945597196,0.8474978991117827,7450,4803,953,195
15,82.4887906148271,77.85451197053408,91.77273565762775,10860,5421,2257,412,148,34,0.005123266563944462,0.01242555993854785,0.06650976711193723,0.8542188177273773,7456,4797,999,178
16,82.4212271973466,77.67034990791898,91.93875668695813,10860,5421,2281,406,144,31,0.012417232332486483,0.012520510454846728,0.06337809480422463,0.8465389447906023,7460,4800,975,184
17,82.10797862539157,77.19152854511971,91.95720346799483,10860,5421,2338,404,139,32,0.03331320534710369,0.01165596531518617,0.057115667432055206,0.8455986836176301,7465,4799,918,186
18,82.50721700141268,77.73480662983425,92.0678841542151,10860,5421,2254,395,164,35,0.02276891683671345,0.014322719165010385,0.06493888612017307,0.8487694304716298,7440,4796,1002,195
19,82.43965358393218,77.82688766114181,91.6805017524442,10860,5421,2246,413,162,38,0.010196560196560123,0.013438710258390626,0.0682583894635248,0.8577116659254227,7442,4793,1010,177
