,accuracy,accuracy_0,accuracy_1,alpha,calibration_neg_0,calibration_neg_1,calibration_neg_gap_0,calibration_neg_gap_1,calibration_pos_0,calibration_pos_1,calibration_pos_gap_0,calibration_pos_gap_1,count_0,count_1,dropout_rate,false_neg_0,false_neg_1,false_pos_0,false_pos_1,fn_0,fn_1,fn_gap_0,fn_gap_1,fp_0,fp_1,fp_gap_0,fp_gap_1,learning_rate,n_h,n_h_adv,parity_gap_0,parity_gap_1,roc_auc,total_num_iters,true_neg_0,true_neg_1,true_pos_0,true_pos_1,y_hat_0,y_hat_1
0,0.58460782507217,0.5339779005524862,0.6860357867552113,,0.25035211267605634,0.25035211267605634,0.0,0.0,0.20361715098557204,0.20361715098557204,0.0,0.0,10860,5421,0.25,2398,446,2663,1256,0.7364864864864865,0.7559322033898305,0.019445716903343957,0.019445716903343957,0.3502104155707522,0.25998758021113644,0.09022283535961578,0.09022283535961578,0.0001,10,,0.06596237671995853,0.06596237671995853,0.4738452537699417,4000,4941,3575,858,144,0.6757826887661141,0.7417450654860727
1,0.7554818500092132,0.6920810313075506,0.882494004796163,,0.23267138881861876,0.23267138881861876,0.0,0.0,0.35607675906183367,0.35607675906183367,0.0,0.0,10860,5421,0.25,3115,564,229,73,0.9566953316953317,0.9559322033898305,0.0007631283055011817,0.0007631283055011817,0.03011572856391373,0.015110743117367004,0.015004985446546725,0.015004985446546725,0.0001,10,,0.015807668357451732,0.015807668357451732,0.6557947086681216,4000,7375,4758,141,26,0.9659300184162063,0.981737686773658
2,0.7675818438670843,0.7054327808471454,0.8920863309352518,,0.231285332670684,0.231285332670684,0.0,0.0,0.6684782608695652,0.6684782608695652,0.0,0.0,10860,5421,0.25,3152,571,47,14,0.9680589680589681,0.9677966101694915,0.00026235788947659433,0.00026235788947659433,0.0061809573908469225,0.002897950734837508,0.0032830066560094145,0.0032830066560094145,0.0001,10,,0.007816797985326196,0.007816797985326196,0.7510442339687958,4000,7557,4817,104,19,0.9860957642725598,0.993912562257886
3,0.7732940237086174,0.7136279926335175,0.8928242021767202,,0.2266816704176044,0.2266816704176044,0.0,0.0,0.7719298245614035,0.7719298245614035,0.0,0.0,10860,5421,0.25,3056,570,54,11,0.9385749385749386,0.9661016949152542,0.02752675634031565,0.02752675634031565,0.0071015255128879535,0.002276961291658042,0.004824564221229911,0.004824564221229911,0.0001,10,,0.017670079830738095,0.017670079830738095,0.7965598438975757,4000,7550,4820,200,20,0.9766114180478821,0.9942814978786202
4,0.7919660954486825,0.7388581952117864,0.8983582364877329,,0.20925449871465296,0.20925449871465296,0.0,0.0,0.8183079056865464,0.8183079056865464,0.0,0.0,10860,5421,0.25,2720,536,116,15,0.8353808353808354,0.9084745762711864,0.07309374089035103,0.07309374089035103,0.015255128879537085,0.00310494721589733,0.012150181663639755,0.012150181663639755,0.0001,10,,0.04730855349719376,0.04730855349719376,0.8223049718128652,4000,7488,4816,536,54,0.939963167587477,0.9872717210846708
5,0.8090412136846631,0.7625230202578269,0.9022320605054418,,0.18962992545260915,0.18962992545260915,0.0,0.0,0.7931583134447097,0.7931583134447097,0.0,0.0,10860,5421,0.25,2346,503,233,27,0.7205159705159705,0.8525423728813559,0.13202640236538543,0.13202640236538543,0.03064176749079432,0.005588904988615194,0.025052862502179127,0.025052862502179127,0.0001,10,,0.084219288402682,0.084219288402682,0.8447158191916739,4000,7371,4804,910,87,0.8947513812154696,0.9789706696181516
6,0.8180087218229839,0.7749539594843462,0.9042612064194798,,0.17830457818231218,0.17830457818231218,0.0,0.0,0.7831943553559975,0.7831943553559975,0.0,0.0,10860,5421,0.25,2139,486,305,33,0.6569410319410319,0.823728813559322,0.1667877816182901,0.1667877816182901,0.04011046817464493,0.0068308838749741255,0.0332795842996708,0.0332795842996708,0.0001,10,,0.10566713649904558,0.10566713649904558,0.8537208042402918,4000,7299,4798,1117,104,0.869060773480663,0.9747279099797086
7,0.8205269946563479,0.7767034990791897,0.9083194982475558,,0.17062530295685893,0.17062530295685893,0.0,0.0,0.7510869565217392,0.7510869565217392,0.0,0.0,10860,5421,0.25,2003,461,422,36,0.6151719901719902,0.7813559322033898,0.16618394203139963,0.16618394203139963,0.05549710678590215,0.0074518733181535915,0.04804523346774856,0.04804523346774856,0.0001,10,,0.12379853872957736,0.12379853872957736,0.8617288213844597,4000,7182,4795,1253,129,0.8457642725598526,0.96956281128943
8,0.8243965358393219,0.7818600368324126,0.9096107729201255,,0.16423562412342216,0.16423562412342216,0.0,0.0,0.7441860465116279,0.7441860465116279,0.0,0.0,10860,5421,0.25,1899,443,470,47,0.5832309582309583,0.7508474576271187,0.1676164993961604,0.1676164993961604,0.06180957390846923,0.009728834609811634,0.0520807392986576,0.0520807392986576,0.0001,10,,0.13244528898767938,0.13244528898767938,0.8632741216363571,4000,7134,4784,1357,147,0.831767955801105,0.9642132447887843
9,0.83078434985566,0.790147329650092,0.9121933222652647,,0.15502494654312188,0.15502494654312188,0.0,0.0,0.7423367392270103,0.7423367392270103,0.0,0.0,10860,5421,0.25,1746,429,533,47,0.5362407862407862,0.7271186440677966,0.1908778578270104,0.1908778578270104,0.0700946870068385,0.009728834609811634,0.06036585239702687,0.06036585239702687,0.0001,10,,0.1497522424049711,0.1497522424049711,0.8701647108908079,4000,7071,4784,1510,161,0.811878453038674,0.9616306954436451
