,accuracy,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,alpha,calibration_neg_0,calibration_neg_1,calibration_neg_2,calibration_neg_3,calibration_neg_4,calibration_neg_gap_0,calibration_neg_gap_1,calibration_neg_gap_2,calibration_neg_gap_3,calibration_neg_gap_4,calibration_pos_0,calibration_pos_1,calibration_pos_2,calibration_pos_3,calibration_pos_4,calibration_pos_gap_0,calibration_pos_gap_1,calibration_pos_gap_2,calibration_pos_gap_3,calibration_pos_gap_4,count_0,count_1,count_2,count_3,count_4,dropout_rate,false_neg_0,false_neg_1,false_neg_2,false_neg_3,false_neg_4,false_pos_0,false_pos_1,false_pos_2,false_pos_3,false_pos_4,fn_0,fn_1,fn_2,fn_3,fn_4,fn_gap_0,fn_gap_1,fn_gap_2,fn_gap_3,fn_gap_4,fp_0,fp_1,fp_2,fp_3,fp_4,fp_gap_0,fp_gap_1,fp_gap_2,fp_gap_3,fp_gap_4,learning_rate,n_h,n_h_adv,parity_gap_0,parity_gap_1,parity_gap_2,parity_gap_3,parity_gap_4,roc_auc,total_num_iters,true_neg_0,true_neg_1,true_neg_2,true_neg_3,true_neg_4,true_pos_0,true_pos_1,true_pos_2,true_pos_3,true_pos_4,y_hat_0,y_hat_1,y_hat_2,y_hat_3,y_hat_4
0,0.23512069283213563,0.24587695396529471,0.14157591287636132,0.2833333333333333,0.12578616352201258,0.16296296296296298,0,0.5044820717131474,0.5044820717131474,0.5044820717131474,0.5044820717131474,0.5044820717131474,0.0,0.0,0.0,0.0,0.0,0.19848665312127795,0.19848665312127795,0.19848665312127795,0.19848665312127795,0.19848665312127795,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.1,937,31,39,0,6,9580,1309,305,139,107,0.2684813753581662,0.17318435754189945,0.2932330827067669,0.0,0.24,0.07422989890280304,0.0953108240862792,0.025314135696659856,0.26796842738368837,0.027953838012379995,0.9162203519510329,0.947178002894356,0.8789625360230547,0.9928571428571429,0.9727272727272728,0.026736616619538855,0.030982719582706708,0.037726218675933176,0.07622224405904288,0.056086544397928484,0.0001,10,10,0.046489656801041404,0.06272386708631592,0.046795693310549974,0.11819896871262285,0.05714108757587019,0.29299412587681634,4000,876,73,42,1,3,2553,148,94,19,19,0.1300014341029686,0.06662395900064061,0.16875,0.006289308176100629,0.06666666666666667
1,0.5226951661445857,0.525742148286247,0.535554131966688,0.5270833333333333,0.20754716981132076,0.4148148148148148,0,0.2774384424508494,0.2774384424508494,0.2774384424508494,0.2774384424508494,0.2774384424508494,0.0,0.0,0.0,0.0,0.0,0.16181285541961055,0.16181285541961055,0.16181285541961055,0.16181285541961055,0.16181285541961055,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.1,2673,127,90,2,15,3941,598,137,124,64,0.7659025787965617,0.7094972067039106,0.6766917293233082,0.10526315789473684,0.6,0.06867245195724858,0.05623609361735793,0.08883671885368172,0.6601902839246178,0.16542414574944375,0.37691277735271617,0.43270622286541244,0.39481268011527376,0.8857142857142857,0.5818181818181818,0.058329148430393496,0.055674627455465975,0.016989635683764437,0.5079484495352983,0.203996484083936,0.0001,10,10,0.1063643770050956,0.06633180897139512,0.01913644706031259,0.5355953308850206,0.19332342375820644,0.39436280306057436,4000,6515,784,210,16,46,817,52,43,17,10,0.6588269037716908,0.5836002562459962,0.625,0.11320754716981132,0.45185185185185184
2,0.7603341318100854,0.7503226731679334,0.8641896220371557,0.7145833333333333,0.7358490566037735,0.7851851851851852,0,0.22376173518938167,0.22376173518938167,0.22376173518938167,0.22376173518938167,0.22376173518938167,0.0,0.0,0.0,0.0,0.0,0.4665071770334928,0.4665071770334928,0.4665071770334928,0.4665071770334928,0.4665071770334928,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.1,3143,161,113,16,23,339,51,24,26,6,0.9005730659025788,0.8994413407821229,0.849624060150376,0.8421052631578947,0.92,0.010524303551118108,0.0010627155329362425,0.050940277935290657,0.05839633447403669,0.019503343885958202,0.03242157612853864,0.03690303907380608,0.069164265129683,0.18571428571428572,0.05454545454545454,0.008271409641728858,0.00441393457998529,0.03665209808751528,0.15318393205583408,0.02199429341076177,0.0001,10,10,0.015050096871045304,0.007903543923906131,0.041543256755901536,0.13233411276750617,0.007977207977207912,0.5675655164525841,4000,10117,1331,323,114,104,347,18,20,3,2,0.9508102681772551,0.9557975656630365,0.9083333333333333,0.8176100628930818,0.9407407407407408
3,0.784472698237209,0.7722644485874086,0.8904548366431775,0.7541666666666667,0.8679245283018868,0.8296296296296296,0,0.21699429296131895,0.21699429296131895,0.21699429296131895,0.21699429296131895,0.21699429296131895,0.0,0.0,0.0,0.0,0.0,0.8297455968688845,0.8297455968688845,0.8297455968688845,0.8297455968688845,0.8297455968688845,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.1,3109,162,109,19,23,67,9,9,2,0,0.8908309455587392,0.9050279329608939,0.8195488721804511,1.0,0.92,0.0004447076957028173,0.014281563768273609,0.0713718485161633,0.10917895472809735,0.02917423500269911,0.006407804131599082,0.006512301013024602,0.025936599423631124,0.014285714285714285,0.0,0.0015071563168941662,8.16722477542213e-05,0.019526730364675615,0.007855076492926355,0.006432462434675582,0.0001,10,10,0.005143178445094598,0.016292379815057267,0.03849875007910886,0.018993148937465065,0.016710021057847135,0.7232119972374287,4000,10389,1373,338,138,110,381,17,24,0,2,0.9678760935035136,0.9833440102498399,0.93125,0.9874213836477987,0.9851851851851852
4,0.7951600024568516,0.7833070414455758,0.8994234465086482,0.7645833333333333,0.8742138364779874,0.8296296296296296,0,0.20743312757201646,0.20743312757201646,0.20743312757201646,0.20743312757201646,0.20743312757201646,0.0,0.0,0.0,0.0,0.0,0.850480109739369,0.850480109739369,0.850480109739369,0.850480109739369,0.850480109739369,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.1,2930,152,103,19,22,92,5,10,1,1,0.839541547277937,0.8491620111731844,0.7744360902255639,1.0,0.88,0.0024221009665729154,0.009692989773553817,0.06517305532570206,0.16048561906855197,0.040478515772427226,0.008798775822494262,0.00361794500723589,0.02881844380403458,0.007142857142857143,0.00909090909090909,0.0033353480478319616,0.005203443364569476,0.020095398353701263,0.0016030170614589933,0.00034531030110176303,0.0001,10,10,0.013775311379990884,0.026850863785756074,0.03972849819631674,0.03886637970381501,0.015273132664436972,0.7991267121533274,4000,10364,1377,337,139,109,560,27,30,0,3,0.9532482432238635,0.9795003203074952,0.9166666666666666,0.9937106918238994,0.9703703703703703
5,0.8049874086358332,0.7938476982647354,0.9007046764894299,0.7833333333333333,0.8805031446540881,0.837037037037037,0,0.19691018591254256,0.19691018591254256,0.19691018591254256,0.19691018591254256,0.19691018591254256,0.0,0.0,0.0,0.0,0.0,0.8338308457711443,0.8338308457711443,0.8338308457711443,0.8338308457711443,0.8338308457711443,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.1,2728,150,91,18,21,147,5,13,1,1,0.7816618911174785,0.8379888268156425,0.6842105263157895,0.9473684210526315,0.84,0.029214544225931394,0.05644026362828547,0.09778709181533707,0.16550835013281306,0.05813373177346526,0.014058913542463657,0.00361794500723589,0.037463976945244955,0.007142857142857143,0.00909090909090909,0.00798556747990976,0.01046610580759234,0.023558779140294514,0.006789841556656312,0.004841254792480281,0.0001,10,10,0.024066489558532744,0.04418376423975712,0.05446055629390545,0.04963450857026497,0.024897807506503056,0.8378840485344384,4000,10309,1377,334,139,109,762,29,42,1,4,0.9348200200774416,0.9782190903267136,0.8854166666666666,0.9874213836477987,0.9629629629629629
6,0.8134021251765862,0.8030976624121612,0.9026265214606022,0.7875,0.89937106918239,0.837037037037037,0,0.18645311978645313,0.18645311978645313,0.18645311978645313,0.18645311978645313,0.18645311978645313,0.0,0.0,0.0,0.0,0.0,0.8117283950617284,0.8117283950617284,0.8117283950617284,0.8117283950617284,0.8117283950617284,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.1,2533,141,84,16,20,213,11,18,0,2,0.7257879656160459,0.7877094972067039,0.631578947368421,0.8421052631578947,0.8,0.03400382915308375,0.06203257480650248,0.0945747224938499,0.11608191108443722,0.07397458720114447,0.020371078806426933,0.007959479015918957,0.05187319884726225,0.0,0.01818181818181818,0.00932435737135697,0.012444204386220183,0.03168630247514859,0.020225551236865313,0.0020408992554086687,0.0001,10,10,0.029933567559915275,0.053324539383895475,0.06180344598443133,0.06133304309358123,0.0279821627647715,0.8571484041508826,4000,10243,1371,329,140,108,957,38,49,3,5,0.916104976337301,0.968609865470852,0.8604166666666667,0.9811320754716981,0.9481481481481482
7,0.8200356243473989,0.8102681772551269,0.9064702114029468,0.7875,0.9056603773584906,0.8444444444444444,0,0.17868974376309918,0.17868974376309918,0.17868974376309918,0.17868974376309918,0.17868974376309918,0.0,0.0,0.0,0.0,0.0,0.8073825503355705,0.8073825503355705,0.8073825503355705,0.8073825503355705,0.8073825503355705,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.1,2389,136,83,15,20,257,10,19,0,1,0.6845272206303725,0.7597765363128491,0.6240601503759399,0.7894736842105263,0.8,0.05111505532735727,0.07531401282991323,0.06091098419617902,0.10458831903964094,0.11511611491494322,0.02457918898240245,0.00723589001447178,0.05475504322766571,0.0,0.00909090909090909,0.014047509657107613,0.01737239681718355,0.03043388336382924,0.024359027905381716,0.015265989436169056,0.0001,10,10,0.040844542316939236,0.06366968811798457,0.05381898297576104,0.0670149543691616,0.0474668648581692,0.8654181880986538,4000,10199,1372,328,140,109,1101,43,50,4,5,0.9026244084325254,0.9660474055092889,0.85625,0.9748427672955975,0.9555555555555556
8,0.823536637798661,0.8134232037860318,0.9077514413837284,0.8083333333333333,0.9056603773584906,0.8518518518518519,0,0.17244450534392985,0.17244450534392985,0.17244450534392985,0.17244450534392985,0.17244450534392985,0.0,0.0,0.0,0.0,0.0,0.7887240356083086,0.7887240356083086,0.7887240356083086,0.7887240356083086,0.7887240356083086,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.1,2283,131,70,14,19,319,13,22,1,1,0.6541547277936963,0.7318435754189944,0.5263157894736842,0.7368421052631579,0.76,0.04047855358366137,0.077843831954579,0.12829473840307715,0.08240373307899607,0.10556381740354837,0.030508798775822493,0.009406657018813314,0.06340057636887608,0.007142857142857143,0.00909090909090909,0.017316350919600564,0.02113391943238604,0.033205004318520887,0.023093507678481534,0.021144105541174824,0.0001,10,10,0.04132783808823948,0.07124857254268435,0.07582391937219168,0.06640755746864124,0.05207481729220864,0.8737167645129609,4000,10137,1369,325,139,109,1207,48,63,5,6,0.890577943496343,0.9609224855861627,0.8229166666666666,0.9622641509433962,0.9481481481481482
9,0.8294945027946686,0.819876667144701,0.9090326713645099,0.8166666666666667,0.89937106918239,0.8666666666666667,0,0.16649402665561772,0.16649402665561772,0.16649402665561772,0.16649402665561772,0.16649402665561772,0.0,0.0,0.0,0.0,0.0,0.7972222222222223,0.7972222222222223,0.7972222222222223,0.7972222222222223,0.7972222222222223,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.1,2185,128,66,15,17,327,14,22,1,1,0.6260744985673352,0.7150837988826816,0.49624060150375937,0.7894736842105263,0.68,0.04935699819375783,0.08916549012019415,0.13035570869314572,0.16305718407733083,0.05357713990544666,0.03127390971690895,0.010130246020260492,0.06340057636887608,0.007142857142857143,0.00909090909090909,0.01742029349443787,0.021174374210713186,0.03244069038852404,0.02385707719754822,0.021907636872875273,0.0001,10,10,0.04507419410015567,0.07622687345068657,0.07713238086197072,0.07989200272450869,0.0442586399108138,0.8793478663151352,4000,10129,1368,325,139,109,1305,51,67,4,8,0.8829771977627994,0.9583600256245997,0.8145833333333333,0.9685534591194969,0.9333333333333333
