,accuracy,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,alpha,calibration_0,calibration_1,calibration_2,calibration_3,calibration_4,calibration_gap_0,calibration_gap_1,calibration_gap_2,calibration_gap_3,calibration_gap_4,count_0,count_1,count_2,count_3,count_4,dropout_rate,false_neg_0,false_neg_1,false_neg_2,false_neg_3,false_neg_4,false_pos_0,false_pos_1,false_pos_2,false_pos_3,false_pos_4,fn_0,fn_1,fn_2,fn_3,fn_4,fn_gap_0,fn_gap_1,fn_gap_2,fn_gap_3,fn_gap_4,fp_0,fp_1,fp_2,fp_3,fp_4,fp_gap_0,fp_gap_1,fp_gap_2,fp_gap_3,fp_gap_4,learning_rate,n_h,n_h_adv,parity_gap_0,parity_gap_1,parity_gap_2,parity_gap_3,parity_gap_4,roc_auc,total_num_iters,true_neg_0,true_neg_1,true_neg_2,true_neg_3,true_neg_4,true_pos_0,true_pos_1,true_pos_2,true_pos_3,true_pos_4,y_hat_0,y_hat_1,y_hat_2,y_hat_3,y_hat_4
0,0.24912474663718445,0.2624408432525455,0.133888532991672,0.29375,0.12578616352201258,0.1925925925925926,10,0.23183767522242846,0.23183767522242846,0.23183767522242846,0.23183767522242846,0.23183767522242846,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.5,197,14,12,1,0,10089,1338,327,138,109,0.05644699140401146,0.0782122905027933,0.09022556390977443,0.05263157894736842,0.0,0.02298273218066487,0.021725202301493454,0.03365847608405345,0.003979587351890301,0.05661481885567331,0.9649005355776588,0.9681620839363242,0.9423631123919308,0.9857142857142858,0.990909090909091,0.0017500642600352112,0.0032814376306719018,0.02259069988399043,0.020788989162132676,0.02598327531874345,0.0001,10,4,0.00018474439955153132,0.0036052001225524363,0.027048920954369976,0.021759789154863974,0.0332837854576985,0.46612165893953816,500,367,44,20,2,1,3293,165,121,18,25,0.04044170371432669,0.037155669442664956,0.06666666666666667,0.018867924528301886,0.007407407407407408
1,0.3920520852527486,0.3990391510110426,0.3433696348494555,0.41041666666666665,0.3081761006289308,0.26666666666666666,10,0.25911479063843335,0.25911479063843335,0.25911479063843335,0.25911479063843335,0.25911479063843335,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.5,527,28,32,1,3,7854,997,251,109,96,0.1510028653295129,0.1564245810055866,0.24060150375939848,0.05263157894736842,0.12,0.01954238641863884,0.0053126067517145215,0.08957590198822438,0.09851674820166001,0.031144400138561845,0.7511476664116297,0.7214182344428365,0.723342939481268,0.7785714285714286,0.8727272727272727,0.028103089855872176,0.02971426145099665,0.027387742446823737,0.027875718999366583,0.12203960588596796,0.0001,10,4,0.028311250092510398,0.039981599727042294,0.039402569457629266,0.027435848822539438,0.10335686857425988,0.612391257210401,500,2602,385,96,31,14,2963,151,101,18,22,0.22436540943639754,0.2645739910313901,0.26666666666666666,0.20125786163522014,0.1259259259259259
2,0.6015601007309134,0.5958697834504517,0.643818065342729,0.61875,0.6918238993710691,0.5333333333333333,10,0.3369149067555885,0.3369149067555885,0.3369149067555885,0.3369149067555885,0.3369149067555885,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.5,1004,70,39,3,2,4632,486,144,46,61,0.28767908309455587,0.39106145251396646,0.2932330827067669,0.15789473684210525,0.08,0.080503840072566,0.1033975192178141,0.004986280974933144,0.13036659251708305,0.20826763409715077,0.4429992348890589,0.3516642547033285,0.414985590778098,0.32857142857142857,0.5545454545454546,0.08580948422704343,0.09129692691727676,0.026676418439583793,0.1130775821798441,0.11292474740889841,0.0001,10,4,0.0911252979141633,0.1284808198479236,0.0015402506170495434,0.10845018994319255,0.1259383128948346,0.705437604717699,500,5824,896,203,94,49,2486,109,94,16,23,0.4896027534776997,0.6188340807174888,0.5041666666666667,0.610062893081761,0.37777777777777777
3,0.703826546280941,0.6974759787752761,0.766175528507367,0.66875,0.7672955974842768,0.6888888888888889,10,0.41507135398538114,0.41507135398538114,0.41507135398538114,0.41507135398538114,0.41507135398538114,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.5,1298,94,54,7,8,2921,271,105,30,34,0.37191977077363897,0.5251396648044693,0.40601503759398494,0.3684210526315789,0.32,0.12813599848462992,0.1531790493357182,0.033224575364152464,0.004412949712123249,0.05283736812449025,0.2793611323641928,0.19609261939218525,0.3025936599423631,0.21428571428571427,0.3090909090909091,0.0748728961631705,0.08328811616650184,0.024452970778999494,0.06389205890477126,0.03092583317019776,0.0001,10,4,0.09553634683304302,0.1381095416817536,0.03133029555091449,0.08965131438816754,0.02505883810231635,0.7514357027839619,500,7535,1111,242,110,76,2192,85,79,12,17,0.6333715760791625,0.7719410634208841,0.6166666666666667,0.7358490566037735,0.6222222222222222
4,0.7466986057367484,0.7404990678330704,0.8026905829596412,0.7,0.8301886792452831,0.8074074074074075,10,0.47196450181524807,0.47196450181524807,0.47196450181524807,0.47196450181524807,0.47196450181524807,0.0,0.0,0.0,0.0,0.0,13946,1561,480,159,135,0.5,1344,95,47,10,10,2275,213,97,17,16,0.3851002865329513,0.5307262569832403,0.3533834586466165,0.5263157894736842,0.4,0.11194680274076135,0.1456577276789326,0.03255771403315755,0.1404256704333462,0.014102197935363103,0.21757842387146137,0.15412445730824892,0.27953890489913547,0.12142857142857143,0.14545454545454545,0.05496912566716247,0.06350264930614125,0.06290701922643044,0.09528833841707939,0.07125519084317211,0.0001,10,4,0.087029874483746,0.12638136959307023,0.0790539364597177,0.1423953673990539,0.07552334943639294,0.7880058990055621,500,8181,1169,250,123,94,2146,84,86,9,15,0.6829915387924853,0.8097373478539398,0.61875,0.8364779874213837,0.7703703703703704
